time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-20T18:10:10.604Z,43.4436,84.7852,42.353,4.9,mb,196,42,3.787,0.57,us,us7000n0i8,2024-07-20T19:10:59.040Z,"98 km S of Dushanzi, China",earthquake,8.34,6.583,0.038,212,reviewed,us,us
2024-07-20T17:41:57.361Z,-12.2338,166.6405,129.818,5,mb,105,70,7.137,0.66,us,us7000n0i2,2024-07-20T18:01:06.040Z,"190 km SSE of Lata, Solomon Islands",earthquake,9.29,7.009,0.053,118,reviewed,us,us
2024-07-20T16:45:10.625Z,67.229,-164.4528,0,2.7,ml,,,,0.69,ak,ak0249accph2,2024-07-20T19:28:08.040Z,"55 km S of Kivalina, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-07-20T15:38:06.809Z,34.9116,23.3821,8.102,4.5,mb,146,58,1.292,0.84,us,us7000n0hk,2024-07-20T18:43:44.040Z,"44 km SW of Palaióchora, Greece",earthquake,7.43,4.765,0.05,124,reviewed,us,us
2024-07-20T14:49:37.400Z,39.1419982910156,-120.021003723145,3.45000004768372,2.55,md,9,86,0.1047,0.02,nc,nc75037282,2024-07-20T16:59:26.098Z,"9 km SE of Dollar Point, CA",earthquake,0.48,2.22000003,0.25,10,automatic,nc,nc
2024-07-20T14:21:58.102Z,-16.7249,-177.0946,10,4.8,mb,25,85,5.049,0.44,us,us7000n0hb,2024-07-20T14:46:53.040Z,"288 km SSE of Alo, Wallis and Futuna",earthquake,12.15,1.903,0.084,50,reviewed,us,us
2024-07-20T14:19:55.750Z,39.1248321533203,-120.017997741699,-2.03999996185303,2.82,md,13,90,0.1179,0.27,nc,nc75037262,2024-07-20T15:47:12.575Z,"10 km SE of Dollar Point, CA",earthquake,0.91,5.55000019,0.27,20,automatic,nc,nc
2024-07-20T14:18:56.831Z,40.9149,84.2541,10,4.5,mb,36,121,4.288,0.74,us,us7000n0h9,2024-07-20T14:32:52.040Z,"142 km SE of Kuqa, China",earthquake,8.97,1.902,0.095,33,reviewed,us,us
2024-07-20T12:52:44.141Z,22.5934,141.9952,255.257,4.7,mb,66,98,4.486,0.72,us,us7000n0gz,2024-07-20T13:09:10.040Z,"Volcano Islands, Japan region",earthquake,9.84,8.209,0.027,399,reviewed,us,us
2024-07-20T12:05:04.883Z,0.0963,96.4898,10,5.4,mb,82,67,1.618,0.82,us,us7000n0gn,2024-07-20T14:09:27.350Z,"155 km WSW of Teluk Dalam, Indonesia",earthquake,4.28,1.832,0.059,97,reviewed,us,us
2024-07-20T11:54:05.790Z,44.52,-115.222333333333,9.9,2.65,ml,24,64,0.4939,0.18,mb,mb90057573,2024-07-20T13:44:49.810Z,"40 km NW of Stanley, Idaho",earthquake,0.39,0.74,0.202667117214284,45,reviewed,mb,mb
2024-07-20T11:15:50.520Z,36.7002,141.5659,24.817,4.9,mb,70,118,2.705,0.7,us,us7000n0gi,2024-07-20T11:43:01.617Z,"72 km ESE of Iwaki, Japan",earthquake,6.86,3.968,0.03,339,reviewed,us,us
2024-07-20T10:12:14.590Z,27.7863,140.7064,21.81,4.7,mb,53,64,1.483,0.91,us,us7000n0g8,2024-07-20T10:49:51.040Z,"Bonin Islands, Japan region",earthquake,7.57,5.34,0.048,130,reviewed,us,us
